ID,Date,Location,Police District,Police Station,Police,News,Journalists' Notes,Task Force Detainees of the Philippines,RiseUp for Life and Rights,Balay Rehabilitation Center,CCT-DRK Research,Redemptorist Social Mission,Funeral Parlor,Bishop of Caloocan,Philippine Human Rights Information Center,Commission on Human Rights,Assailant
264,Aug-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,0.0,0.0,0.0,,0.0,Police
265,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,0.0,Police
266,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,0.0,Police
281,Aug-2016,Caloocan,NPD,PS-1,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
291,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,Police
293,Aug-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
294,Aug-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
298,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
301,Sep-2016,Caloocan,NPD,PS-1,1,1,,,,1,1.0,0.0,0.0,0.0,0.0,0.0,Police
309,Sep-2016,Caloocan,NPD,PS-1,1,1,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
319,Sep-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
324,Sep-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
342,Sep-2016,Caloocan,NPD,PS-1,1,1,,,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Police
344,Sep-2016,Caloocan,NPD,PS-1,1,1,,,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Police
346,Sep-2016,Caloocan,NPD,PS-1,0,1,,,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,Police
347,Sep-2016,Caloocan,NPD,PS-1,0,0,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
348,Sep-2016,Caloocan,NPD,PS-1,0,1,,,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Police
349,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
350,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
351,Sep-2016,Caloocan,NPD,PS-1,1,0,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
352,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,Police
353,Sep-2016,Caloocan,NPD,PS-1,1,0,,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Police
355,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
357,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,Police
358,Sep-2016,Caloocan,NPD,PS-1,1,0,,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Police
359,Sep-2016,Caloocan,NPD,PS-1,1,0,,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Police
360,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,Police
375,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,Police
393,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,Police
394,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Police
395,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Police
412,Oct-2016,Caloocan,NPD,PS-1,0,1,,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
438,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
443,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
462,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
463,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
464,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,1.0,Police
466,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
467,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
468,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
469,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
472,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,Police
481,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
482,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
483,Oct-2016,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
487,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Police
489,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,Police
490,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Police
491,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Police
515,Nov-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
525,Nov-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,Police
530,Nov-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
531,Nov-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
533,Nov-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
552,Nov-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
553,Nov-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
557,Nov-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
567,Dec-2016,Caloocan,NPD,PS-1,0,1,0.0,0.0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
568,Dec-2016,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
573,Dec-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
578,Dec-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Police
579,Dec-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
581,Dec-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
582,Dec-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,Police
583,Dec-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Police
584,Dec-2016,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,Police
586,Dec-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
599,Dec-2016,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
