ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Philippine Human Rights Information Center,Task for Detainees of the Philippines ,RiseUp for Life and Rights,Parishes,CCT-DRK Research,Barangay Holy Spirit Public Safety Office,Assailant
305,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
306,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
307,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
308,Mar-2017,Quezon City,QCPD,PS 03 Talipapa,1,0,0.0,0.0,1.0,0.0,0.0,0,0.0,Unidentified
309,Mar-2017,Quezon City,QCPD,PS 03 Talipapa,1,0,0.0,0.0,1.0,0.0,0.0,0,0.0,Unidentified
310,May-2017,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
311,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
312,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
313,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
314,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,1.0,Unidentified
315,Feb-2017,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
339,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
344,Aug-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,,0.0,,0.0,0.0,1,0.0,Unidentified
347,Aug-2016,Quezon City,QCPD,PS 02 Masambong,1,1,,,,0.0,0.0,1,0.0,Unidentified
