ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
147,Nov-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
148,Nov-2016,Manila,MPD,PS-2 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
149,Nov-2016,Manila,MPD,PS-4 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
150,Nov-2016,Manila,MPD,PS-6 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
151,Nov-2016,Manila,MPD,PS-6 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
152,Nov-2016,Manila,MPD,PS-2 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
153,Nov-2016,Manila,MPD,PS-2 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
154,Nov-2016,Manila,MPD,PS-2 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
155,Nov-2016,Manila,MPD,PS-2 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
156,Nov-2016,Manila,MPD,PS-2 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
157,Nov-2016,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
158,Nov-2016,Manila,MPD,PS-2 ,1,0,0.0,1.0,1.0,,,0,0.0,Police
159,Nov-2016,Manila,MPD,PS-7 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
160,Nov-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
161,Nov-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
162,Nov-2016,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
163,Nov-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
164,Nov-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
165,Nov-2016,Manila,MPD,PS-6 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
166,Nov-2016,Manila,MPD,PS-7 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
167,Nov-2016,Manila,MPD,PS-3 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
168,Nov-2016,Manila,MPD,PS-4 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
169,Nov-2016,Manila,MPD,PS-4 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
170,Nov-2016,Manila,MPD,PS-7 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
171,Nov-2016,Manila,MPD,PS-7 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
172,Nov-2016,Manila,MPD,PS-4 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
173,Nov-2016,Manila,MPD,PS-5 ,1,1,0.0,0.0,0.0,,,0,0.0,Police
174,Nov-2016,Manila,MPD,PS-5 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
175,Nov-2016,Manila,MPD,PS-5 ,1,1,0.0,0.0,0.0,,,0,0.0,Police
176,Nov-2016,Manila,MPD,PS-5 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
